DATE,TIME,VOLUME,OPEN,CLOSE,MIN,MAX
09/15/2011,20:45:01,279,.6329,.6329,.6328,.633
09/15/2011,20:46:01,200,.6329,.6329,.6328,.6331
09/15/2011,20:47:01,90,.6329,.6329,.6328,.633
09/15/2011,20:48:01,213,.6329,.6328,.6328,.633
09/15/2011,20:49:01,130,.6329,.6329,.6328,.633
09/15/2011,20:50:01,351,.6329,.6329,.6328,.633
09/15/2011,20:51:01,195,.6329,.633,.6328,.6331
09/15/2011,20:52:01,241,.6331,.633,.6329,.6332
09/15/2011,20:53:01,231,.633,.6329,.6328,.6331
09/15/2011,20:54:01,134,.6329,.633,.6329,.6332
09/15/2011,20:55:01,205,.633,.6329,.6328,.6331
09/15/2011,20:56:01,120,.633,.633,.6328,.633
09/15/2011,20:57:01,155,.633,.6329,.6328,.633
09/15/2011,20:58:01,140,.6329,.6329,.6328,.633
09/15/2011,20:59:01,194,.633,.633,.6328,.6332
09/15/2011,21:00:01,105,.6329,.6329,.6329,.6331
09/15/2011,21:01:01,74,.633,.6329,.6328,.6331
09/15/2011,21:02:01,55,.6329,.633,.6329,.6331
09/15/2011,21:03:01,108,.633,.6329,.6328,.6331
09/15/2011,21:04:01,52,.6329,.6329,.6328,.633
09/15/2011,21:05:01,45,.6329,.6329,.6328,.633
09/15/2011,21:06:01,130,.6329,.6329,.6328,.6332
09/15/2011,21:07:01,143,.6329,.6329,.6328,.633
09/15/2011,21:08:01,91,.6329,.6329,.6328,.6331
09/15/2011,21:09:01,55,.633,.633,.6329,.633
09/15/2011,21:10:01,163,.633,.633,.6328,.633
09/15/2011,21:11:01,158,.6328,.6329,.6328,.633
09/15/2011,21:12:01,90,.6329,.6331,.6328,.6332
09/15/2011,21:13:01,181,.6331,.6329,.6328,.6331
09/15/2011,21:14:01,163,.633,.633,.6328,.6332
09/15/2011,21:15:01,152,.633,.6329,.6328,.6331
09/15/2011,21:16:01,73,.633,.633,.6329,.633
09/15/2011,21:17:01,198,.633,.633,.6328,.6331
09/15/2011,21:18:01,87,.633,.633,.6329,.6331
09/15/2011,21:19:01,213,.633,.6329,.6328,.6331
09/15/2011,21:20:01,193,.6329,.6329,.6328,.6331
09/15/2011,21:21:01,92,.6329,.633,.6328,.6331
09/15/2011,21:22:01,134,.633,.633,.6329,.6332
09/15/2011,21:23:01,112,.6331,.6331,.633,.6332
09/15/2011,21:24:01,144,.633,.6329,.6328,.6332
09/15/2011,21:25:01,84,.6329,.6329,.6328,.633
09/15/2011,21:26:01,79,.6329,.6329,.6328,.633
09/15/2011,21:27:01,79,.6328,.6329,.6328,.633
09/15/2011,21:28:01,130,.6329,.6329,.6328,.633
09/15/2011,21:29:01,131,.6328,.6329,.6328,.633
09/15/2011,21:30:01,89,.6328,.6328,.6328,.633
09/15/2011,21:31:01,75,.6329,.6329,.6328,.633
09/15/2011,21:32:01,142,.6329,.6329,.6328,.633
09/15/2011,21:33:01,116,.633,.6329,.6328,.633
09/15/2011,21:34:01,50,.6328,.6329,.6328,.633
09/15/2011,21:35:01,214,.6329,.6328,.6328,.633
09/15/2011,21:36:01,167,.6328,.6328,.6327,.633
09/15/2011,21:37:01,116,.6328,.6328,.6327,.6329
09/15/2011,21:38:01,180,.6327,.6328,.6327,.633
09/15/2011,21:39:01,105,.6328,.6328,.6328,.633
09/15/2011,21:40:01,160,.6328,.6329,.6328,.633
09/15/2011,21:41:01,181,.6329,.6329,.6328,.633
09/15/2011,21:42:01,271,.6329,.633,.6328,.6331
09/15/2011,21:43:01,91,.633,.633,.6329,.6331
09/15/2011,21:44:01,156,.633,.633,.6329,.6332
09/15/2011,21:45:01,110,.633,.633,.6329,.6331
09/15/2011,21:46:01,73,.633,.633,.6329,.6332
09/15/2011,21:47:01,52,.633,.633,.633,.6331
09/15/2011,21:48:01,116,.633,.6332,.6329,.6332
09/15/2011,21:49:01,73,.6332,.6332,.633,.6332
09/15/2011,21:50:01,119,.6331,.6332,.633,.6333
09/15/2011,21:51:01,136,.6332,.6332,.6331,.6333
09/15/2011,21:52:01,132,.6332,.6332,.6331,.6333
09/15/2011,21:53:01,48,.6332,.6332,.6331,.6333
09/15/2011,21:54:01,31,.6332,.6332,.6331,.6333
09/15/2011,21:55:01,114,.6332,.6333,.6331,.6334
09/15/2011,21:56:01,102,.6333,.6332,.6332,.6334
09/15/2011,21:57:01,175,.6332,.6331,.633,.6334
09/15/2011,21:58:01,50,.6332,.6331,.633,.6332
09/15/2011,21:59:01,74,.6331,.6331,.633,.6332
09/15/2011,22:00:01,312,.6331,.6332,.6329,.6332
09/15/2011,22:01:01,211,.6332,.6332,.633,.6333
09/15/2011,22:02:01,112,.6332,.6331,.633,.6333
09/15/2011,22:03:01,173,.6331,.6332,.633,.6333
09/15/2011,22:04:01,105,.6332,.6332,.6331,.6333
09/15/2011,22:05:01,271,.6332,.6332,.6331,.6333
09/15/2011,22:06:01,126,.6332,.6332,.6331,.6333
09/15/2011,22:07:01,119,.6332,.6331,.6331,.6333
09/15/2011,22:08:01,233,.6331,.6332,.633,.6334
09/15/2011,22:09:01,146,.6333,.6332,.6331,.6333
09/15/2011,22:10:01,280,.6332,.6331,.633,.6334
09/15/2011,22:11:01,175,.6331,.633,.633,.6332
09/15/2011,22:12:01,222,.6331,.6331,.633,.6332
09/15/2011,22:13:01,246,.6331,.6332,.633,.6332
09/15/2011,22:14:01,147,.6331,.6332,.633,.6332
09/15/2011,22:15:01,234,.6332,.6331,.633,.6332
09/15/2011,22:16:01,154,.6331,.6331,.633,.6332
09/15/2011,22:17:01,179,.6331,.633,.633,.6332
09/15/2011,22:18:01,277,.633,.6331,.6329,.6332
09/15/2011,22:19:01,176,.633,.633,.6329,.6332
09/15/2011,22:20:01,286,.633,.6331,.6329,.6332
09/15/2011,22:21:01,232,.633,.633,.6329,.6332
09/15/2011,22:22:01,118,.633,.6331,.633,.6332
09/15/2011,22:23:01,59,.633,.633,.633,.6331
09/15/2011,22:24:01,103,.633,.6331,.633,.6332
09/15/2011,22:25:01,114,.633,.6331,.633,.6332
09/15/2011,22:26:01,228,.6331,.633,.633,.6332
09/15/2011,22:27:01,276,.633,.633,.633,.6332
09/15/2011,22:28:01,190,.633,.633,.633,.6332
09/15/2011,22:29:01,71,.633,.633,.633,.6332
09/15/2011,22:30:01,152,.6331,.6331,.6329,.6332
09/15/2011,22:31:01,142,.633,.6331,.633,.6332
09/15/2011,22:32:01,145,.6331,.633,.633,.6332
09/15/2011,22:33:01,101,.633,.6331,.633,.6332
09/15/2011,22:34:01,71,.633,.6331,.633,.6332
09/15/2011,22:35:01,132,.633,.6331,.633,.6332
09/15/2011,22:36:01,89,.6331,.6331,.633,.6332
09/15/2011,22:37:01,147,.6331,.6331,.633,.6332
09/15/2011,22:38:01,134,.6331,.6332,.633,.6332
09/15/2011,22:39:01,282,.6332,.6331,.633,.6333
09/15/2011,22:40:01,314,.6331,.6331,.633,.6333
09/15/2011,22:41:01,313,.6331,.6333,.633,.6334
09/15/2011,22:42:01,312,.6332,.6332,.6331,.6334
09/15/2011,22:43:01,186,.6332,.6332,.6331,.6333
09/15/2011,22:44:01,94,.6332,.6332,.6331,.6334
09/15/2011,22:45:01,108,.6333,.6332,.6331,.6333
09/15/2011,22:46:01,97,.6332,.6332,.6331,.6333
09/15/2011,22:47:01,42,.6332,.6332,.6331,.6333
09/15/2011,22:48:01,144,.6332,.6333,.6331,.6334
09/15/2011,22:49:01,269,.6332,.6333,.6332,.6334
09/15/2011,22:50:01,47,.6333,.6333,.6332,.6334
09/15/2011,22:51:01,50,.6333,.6333,.6332,.6334
09/15/2011,22:52:01,106,.6333,.6333,.6332,.6334
09/15/2011,22:53:01,179,.6333,.6333,.6332,.6334
09/15/2011,22:54:01,187,.6333,.6332,.6332,.6334
09/15/2011,22:55:01,212,.6332,.6333,.6331,.6334
09/15/2011,22:56:01,80,.6333,.6332,.6331,.6333
09/15/2011,22:57:01,158,.6332,.6333,.6331,.6334
09/15/2011,22:58:01,148,.6333,.6332,.6332,.6334
09/15/2011,22:59:01,324,.6332,.6333,.6332,.6334
09/15/2011,23:00:01,473,.6333,.6334,.6332,.6335
09/15/2011,23:01:01,229,.6334,.6334,.6333,.6335
09/15/2011,23:02:01,173,.6334,.6334,.6333,.6335
09/15/2011,23:03:01,415,.6334,.6332,.6331,.6336
09/15/2011,23:04:01,125,.6332,.6331,.6331,.6333
09/15/2011,23:05:01,143,.6331,.6331,.633,.6332
09/15/2011,23:06:01,154,.6331,.6332,.633,.6333
09/15/2011,23:07:01,106,.6332,.6334,.6332,.6334
09/15/2011,23:08:01,76,.6334,.6334,.6332,.6334
09/15/2011,23:09:01,247,.6333,.6332,.6332,.6334
09/15/2011,23:10:01,178,.6332,.6331,.633,.6334
09/15/2011,23:11:01,100,.6331,.6331,.633,.6332
09/15/2011,23:12:01,88,.6331,.6331,.633,.6333
09/15/2011,23:13:01,192,.6331,.6331,.633,.6332
09/15/2011,23:14:01,72,.6331,.6331,.633,.6332
09/15/2011,23:15:01,48,.6331,.6331,.633,.6332
09/15/2011,23:16:01,83,.6331,.6331,.633,.6332
09/15/2011,23:17:01,169,.6331,.633,.6328,.6332
09/15/2011,23:18:01,290,.6329,.6332,.6328,.6334
09/15/2011,23:19:01,86,.6332,.6332,.6331,.6333
09/15/2011,23:20:01,130,.6332,.6332,.6331,.6333
09/15/2011,23:21:01,262,.6332,.6332,.633,.6333
09/15/2011,23:22:01,65,.6332,.6332,.6331,.6333
09/15/2011,23:23:01,272,.6332,.6331,.633,.6333
09/15/2011,23:24:01,190,.633,.6331,.633,.6332
09/15/2011,23:25:01,169,.6331,.6332,.633,.6333
09/15/2011,23:26:01,220,.6332,.6331,.633,.6333
09/15/2011,23:27:01,84,.6331,.6331,.633,.6332
09/15/2011,23:28:01,92,.6331,.6331,.633,.6332
09/15/2011,23:29:01,149,.6331,.6331,.633,.6332
09/15/2011,23:30:01,159,.6331,.6331,.633,.6332
09/15/2011,23:31:01,100,.6331,.6332,.633,.6333
09/15/2011,23:32:01,106,.6331,.6331,.633,.6333
09/15/2011,23:33:01,238,.6331,.6331,.633,.6334
09/15/2011,23:34:01,204,.6332,.6332,.6331,.6333
09/15/2011,23:35:01,148,.6332,.6332,.6331,.6334
09/15/2011,23:36:01,129,.6331,.6333,.6331,.6333
09/15/2011,23:37:01,64,.6332,.6333,.6332,.6334
09/15/2011,23:38:01,113,.6332,.6333,.6332,.6334
09/15/2011,23:39:01,206,.6332,.6332,.6332,.6334
09/15/2011,23:40:01,186,.6332,.6332,.6331,.6334
09/15/2011,23:41:01,160,.6332,.6332,.6332,.6333
09/15/2011,23:42:01,82,.6332,.6332,.6331,.6333
09/15/2011,23:43:01,231,.6332,.6332,.633,.6333
09/15/2011,23:44:01,118,.6331,.6332,.6331,.6333
09/15/2011,23:45:01,196,.6331,.6331,.633,.6333
09/15/2011,23:46:01,148,.6332,.633,.633,.6332
09/15/2011,23:47:01,97,.633,.6331,.633,.6332
09/15/2011,23:48:01,173,.6332,.6331,.633,.6332
09/15/2011,23:49:01,183,.6331,.6331,.633,.6332
09/15/2011,23:50:01,188,.6331,.6331,.633,.6332
09/15/2011,23:51:01,124,.6331,.6331,.633,.6332
09/15/2011,23:52:01,104,.6332,.6332,.633,.6332
09/15/2011,23:53:01,122,.6331,.6332,.633,.6332
09/15/2011,23:54:01,107,.6332,.6332,.633,.6332
09/15/2011,23:55:01,105,.6331,.6331,.633,.6332
09/15/2011,23:56:01,229,.6331,.6331,.633,.6332
09/15/2011,23:57:01,186,.6331,.6331,.633,.6332
09/15/2011,23:58:01,295,.6331,.6331,.633,.6332
09/15/2011,23:59:01,242,.6332,.6331,.633,.6333
09/16/2011,00:00:01,10,.6331,.6331,.6331,.6332
09/16/2011,00:01:01,629,.6332,.6332,.633,.6334
